鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
平鎮區,房地(土地+建物)+車位,桃園市平鎮區民族路二段２３巷３０號二十一樓,9.71,都市：其他:商業區,,,1100814,土地1建物1車位1,二十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,162.44,3,2,2,有,有,11150000,68641,坡道平面,26.82,0,,RPOOMLNJRHGGFGH48DA,81.96,10.93,0.0,有,162.0
中壢區,房地(土地+建物)+車位,桃園市中壢區九和一街５５號六樓之３,9.91,都市：其他:商業區,,,1100805,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950321,149.63,3,2,2,有,有,9500000,63490,坡道平面,34.74,0,,RPROMLMJRHGGFBH28EA,81.35,8.83,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路１６７號十樓之９,22.28,都市：其他:第五種住宅區(供合宜住宅使用),,,1100806,土地1建物1車位1,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,184.32,3,1,2,有,有,7200000,39063,坡道平面,37.58,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKRHGGFHH98EA,90.83,9.02,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路３４１號十七樓之３,21.42,都市：其他:第五種住宅區(供合宜住宅使用),,,1100812,土地1建物1車位2,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041127,217.31,3,2,2,有,有,8750000,40265,坡道平面,67.5,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLLKRHGGFHH98EA,97.74,8.84,0.0,有,
八德區,房地(土地+建物)+車位,桃園市八德區中正一路２８號十四樓,28.64,都市：其他:商業區,,,1100814,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040617,231.17,4,2,2,有,有,15200000,71627,坡道平面,37.11,1300000,,RPUQMLNKRHGGFFH76EA,122.42,9.03,0.0,有,192.0
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路１０８號二十一樓,14.96,都市：其他:商業區,,,1100627,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,150.39,2,2,1,有,有,12400000,97606,坡道平面,41.79,1800000,,RPPPMLNKRHGGFAH28EA,66.92,5.95,0.0,有,201.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路１７９號四樓之３,26.36,都市：其他:第五種住宅區(供合宜住宅使用),,,1100714,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,200.86,4,2,2,有,有,12000000,59743,坡道平面,0.0,0,,RPUOMLKKRHGGFHH98DA,107.96,8.37,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路３４７號五樓之３,17.26,都市：其他:第五種住宅區(供合宜住宅使用),,,1100809,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041127,154.97,3,2,2,有,有,10500000,67755,坡道平面,33.75,0,,RPOOMLQKQHGGFHH88DA,79.06,7.82,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路１７５號二十三樓之８,26.36,都市：其他:第五種住宅區(供合宜住宅使用),,,1100720,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,204.23000000000002,4,2,2,有,有,13250000,64878,坡道平面,40.67,0,,RPOOMLRLPHGGFHH98DA,107.53,8.89,0.0,有,
八德區,房地(土地+建物)+車位,桃園市八德區中正一路１０號二樓,14.49,都市：其他:商業區,,,1100809,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040617,130.24,2,1,1,有,有,8250000,63345,坡道平面,31.92,0,,RPQNMLKKRHGGFFH28DA,60.81,6.39,0.0,有,211.0
