鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
清水區,土地,頂湳段599地號,312.76,都市：其他:農業區,,,1100901,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2397833,7667,,0.0,0,二等親間買賣，含未辦保存地上房屋。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOPMLNKRHGGFFB97DA,0.0,0.0,0.0,無,
沙鹿區,土地,西勢段35-1地號,472.24,,一般農業區,農牧用地,1100707,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7499000,15880,,0.0,0,,RPPNMLOKRHGGFFB97DA,0.0,0.0,0.0,無,
清水區,房地(土地+建物),臺中市清水區政二街１４６之３號,98.29,都市：其他:第四種住宅區,,,1100820,土地2建物1車位0,全,三層,透天厝,住宅、樓梯間、停車空間,鋼筋混凝土造,1080726,169.49,4,3,3,有,無,9750000,57526,,0.0,0,含傢俱設備費；,RPSOMLOKRHGGFFB38DA,169.49,0.0,0.0,有,0165
梧棲區,土地,南簡段1430地號,96.3,都市：其他:第四種住宅區,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4223959,43863,,0.0,0,,RPRPMLOKRHGGFFB38DA,0.0,0.0,0.0,無,0166
和平區,土地,環山段558地號,4810.0,,山坡地保育區,林業用地,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,62,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJRHGGFGB38DA,0.0,0.0,0.0,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區福幼街１４０之３號,74.95,都市：其他:第二種住宅區,,,1100722,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950809,167.41,4,3,3,有,有,11050000,66006,,0.0,0,,RPQRMLOKRHGGFFB48DA,156.08,11.33,0.0,無,
東勢區,土地,復興段1098-2地號,15.16,都市：其他:住宅區,,,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,845018,55740,,0.0,0,政府機關讓售,RPQNMLOKRHGGFGB18DA,0.0,0.0,0.0,無,
東勢區,房地(土地+建物),臺中市東勢區勢林街１３６巷２２號,96.68,都市：其他:第一種住宅區,,,1100826,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間、停車空間,鋼筋混凝土造,1100702,195.98,5,2,3,有,無,12700000,64803,,0.0,0,,RPRNMLOKRHGGFGB28DA,193.88,2.1,0.0,無,
東勢區,土地,東勢段中嵙小段240地號,1363.0,,山坡地保育區,農牧用地,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,2641,,0.0,0,,RPUNMLOKRHGGFGB58DA,0.0,0.0,0.0,無,
大雅區,房地(土地+建物),臺中市大雅區樹德街２５６巷２４號五樓,20.49,都市：其他:住宅區,,,1100823,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810711,100.88,3,2,2,有,有,4000000,39651,,0.0,0,,RPTNMLPLQHGGFHB68DA,76.75,10.32,0.0,有,
