鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段１８６號五樓,18.44,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100806,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990528,213.44,2,2,2,有,有,57500000,269397,坡道平面,32.52,0,,RPWPMLRKRHGGFCA88EA,109.27,12.16,0.0,有,
大安區,房地(土地+建物),臺北市大安區復興南路二段１８０巷２９號三樓之１,24.64,都市：其他:第三種住宅區。,,,1100807,土地3建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,85.71,3,2,2,有,無,18280000,213277,,0.0,0,,RPVNMLQJRHGGFFA68EA,65.8,8.25,0.0,無,082
大安區,房地(土地+建物)+車位,臺北市大安區安和路二段８８號二十四樓,36.77,都市：其他:第三之一種住宅區。,,,1100811,土地2建物1車位1,二十四層，二十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,379.90999999999997,6,5,4,有,有,109000000,305543,坡道平面,36.26,4000000,,RPUQMLNKPHGGFFA48EA,283.91,47.97,0.0,有,
大安區,房地(土地+建物),臺北市大安區復興南路一段７９巷２號三樓之１,4.08,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆種住宅區)。,,,1100801,土地3建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850708,32.76,1,1,1,有,有,8500000,259463,,0.0,0,,RPWQMLNKPHGGFFA68EA,18.98,4.22,0.0,有,
北投區,土地,豐年段二小段529地號,63.83,都市：其他:農業區。,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,23500,,0.0,0,未登記建物；,RPXNMLNKRHGGFEA58EA,0.0,0.0,0.0,無,083
北投區,土地,行義段三小段42地號,58.9,都市：其他:第二種住宅區。,,,1100318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,139219,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKRHGGFEA77EA,0.0,0.0,0.0,無,
北投區,土地,開明段二小段236地號,17.88,都市：其他:第三種商業區。,,,1100813,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4378630,244890,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNKRHGGFEA08EA,0.0,0.0,0.0,無,
大安區,房地(土地+建物),臺北市大安區通化街１６５巷１１號二樓,35.19,都市：其他:第三種住宅區。,,,1100818,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730619,134.16,4,2,2,有,無,23600000,175909,,0.0,0,,RPXPMLNKPHGGFFA68EA,107.73,11.7,0.0,無,
大安區,房地(土地+建物),臺北市大安區和平東路三段８９巷１７弄５號五樓,26.8,都市：其他:第三種住宅區。,,,1100725,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,89.16,5,4,3,有,無,21600000,242261,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPTQMLNKPHGGFFA38EA,78.69,10.47,0.0,無,
士林區,房地(土地+建物),臺北市士林區中社路二段１７巷９號二樓,97.5,都市：其他:第一種住宅區。,,,1100821,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640801,103.75,4,2,2,有,無,11000000,106024,,0.0,0,其他增建；,RPOOMLNKRHGGFEA77EA,103.75,0.0,0.0,無,
