鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區加宏路１９１巷５１弄２８號七樓,7.68,都市：其他:第五種商業區,,,1100723,土地1建物1車位1,七層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951130,98.59,3,2,1,有,有,5170000,52439,坡道機械,5.13,0,含裝潢費；含傢俱設備費；,RPPOMLTJRHGGFEE68DA,57.12,11.61,0.0,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２０７號,19.62,都市：其他:第四種住宅區,,,1100810,土地1建物1車位1,一層，夾層,015,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1010316,126.59,0,2,2,有,有,7200000,56877,坡道平面,21.41,0,夾層；,RPQNMLMKQHGGFEE97DA,68.07,0.0,0.0,有,125
左營區,房地(土地+建物),高雄市左營區南屏路３７６號六樓之２,16.83,都市：其他:第四種住宅區,,,1100806,土地1建物1車位0,六層,014,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881227,129.91,3,2,2,有,有,8320000,64044,,0.0,0,,RPTOMLPLQHGGFEE78DA,85.12,11.35,0.0,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫五路２８巷９弄５號二樓,41.55,都市：其他:第三種住宅區。,,,1100805,土地1建物1車位1,二層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830927,150.0,4,2,2,有,有,5800000,38667,坡道平面,0.0,0,,RPWOMLPLQHGGFEE09DA,86.74,14.21,0.0,有,
左營區,房地(土地+建物),高雄市左營區自由二路１１１號四樓,16.65,都市：其他:第二種特定商業專用區,,,1100821,土地1建物1車位0,四層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860303,123.03,3,2,2,有,有,5820000,47306,,0.0,0,,RPTOMLSJRHGGFEE98DA,71.79,25.5,0.0,有,126
楠梓區,房地(土地+建物),高雄市楠梓區南昌街１７３號,67.94,都市：其他:第四種住宅區,,,1100815,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土結構造,0900905,181.65,5,2,4,有,無,12600000,69364,,0.0,0,壹樓空地頂樓加蓋；其他增建；,RPPPMLRJRHGGFEE58DA,148.01,33.64,0.0,無,127
楠梓區,房地(土地+建物),高雄市楠梓區大學五十八街７９巷１８號,7.23,都市：其他:第三種住宅區。,,,1100830,土地1建物1車位0,一層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950601,26.740000000000002,0,0,0,無,有,1200000,44877,,0.0,0,,RPRPMLLJRHGGFEE18DA,14.63,0.0,0.0,有,
楠梓區,房地(土地+建物),高雄市楠梓區大學五十八街８１號三樓,12.99,都市：其他:第三種住宅區。,,,1100830,土地1建物1車位0,三層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950601,48.86,0,0,0,無,有,2230000,45641,,0.0,0,,RPSPMLLJRHGGFEE28DA,25.75,2.36,0.0,有,
左營區,房地(土地+建物),高雄市左營區文天路１１８號十樓,5.93,都市：其他:第四種商業區,,,1100822,土地1建物1車位0,十層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1050322,80.75,2,2,1,有,有,6100000,75542,,0.0,0,,RPSNMLMLQHGGFEE28DA,45.18,5.81,0.0,有,128
楠梓區,房地(土地+建物),高雄市楠梓區宏昌街１３６巷２２號,80.0,都市：其他:第三種住宅區。,,,1100812,土地1建物1車位0,全,004,透天厝,住家用,見使用執照,0871219,203.76,7,2,5,有,無,15500000,76070,,0.0,0,其他增建；,RPUOMLQKQHGGFEE88DA,179.63,24.13,0.0,無,
三民區,房地(土地+建物),高雄市三民區順昌街１００號六樓之１２,9.92,都市：其他:第三種商業區,,,1100826,土地1建物1車位0,六層,012,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701222,71.59,2,0,2,有,有,2900000,40508,,0.0,0,,RPVQMLLKRHGGFDE68DA,53.71,5.16,0.0,有,129
三民區,房地(土地+建物)+車位,高雄市三民區建昌路３２號十一樓,13.3,都市：其他:第三種商業區,,,1100819,土地1建物1車位1,十一層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,151.51999999999998,3,2,2,有,有,11000000,72598,坡道平面,17.51,0,含傢俱設備費；,RPTNMLNKRHGGFDE38DA,74.25,16.99,0.0,有,130
楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠梓路２６９巷１７號十九樓,15.3,都市：其他:第四種住宅區,,,1100401,土地1建物1車位1,十九層,023,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090904,170.79,3,2,2,有,有,9120000,54736,坡道平面,32.49,1550000,,RPURMLLLMHGGFEE38DA,83.13,8.11,0.0,有,
楠梓區,房地(土地+建物),高雄市楠梓區大學十街６７０巷８０號,192.79,,,,1100731,土地1建物1車位0,全,003,透天厝,住宅,鋼筋混凝土,1100125,271.45,5,2,4,有,無,27000000,99466,,0.0,0,,RPTNMLKKQHGGFEE08DA,257.34,14.11,0.0,有,
